Map,Agents,Lambda,Algorithm,Samples,AvgServiceTime,AvgServiceTime_std,AvgPathLength,AvgPathLength_std,PeakMemory_MB,PeakMemory_MB_std,NPC,NPC_std,NPC_min,NPC_max,PerStepTime,PerStepTime_std
empty,20,5.0,w/o_HashSIPP,20,358.8759999999999,5.051134734419899,36.12116994547155,0.3271723523812683,12.6015625,0.5682288337493195,1.0595049999999997,0.06902,1.0,2.0,3.1188318712589016,0.1806531406377396
empty,20,5.0,w/o_LNS,19,369.6973684210527,3.7160505350368114,38.53180125610865,0.147567342757684,13.012541118421051,1.9992015427121017,1.0503052631578949,0.0485684210526315,1.0125,2.5,2.3877129919717546,0.1893748650384419
empty,20,5.0,w/o_PrePlan,20,341.8435,3.793965117893087,35.71535423086455,0.2239074628143845,9.3521484375,0.7875998883805898,1.04533,0.04785,1.0,1.5,7.631014814421107,0.377628512040371
empty,30,5.0,Baseline,20,238.665,2.370282017420136,38.72498166063102,0.1842746361787363,10.3869140625,1.3375977217311663,1.0497200000000002,0.05008,1.0125,2.0,6.74579959147804,0.458984484572986
empty,30,5.0,Full,20,238.957,3.331295148800398,36.08370435401656,0.2396567158795196,12.3947265625,1.818895955265419,1.05138,0.053925,1.0,2.1579,2.609136076225774,0.2213485535670443
empty,30,5.0,w/o_HashSIPP,20,244.157,2.8948540550431887,36.548274938489634,0.2620632235697084,12.5384765625,1.0719232164080066,1.06242,0.069985,1.0,2.0,3.881808707135825,0.2117042848002713
empty,30,5.0,w/o_LNS,20,253.5165,3.300364054878921,38.98762285656632,0.184339413669154,12.4833984375,1.2719166449794586,1.05341,0.072885,1.0125,7.1,2.2245536431985964,0.2908700198051361
empty,30,5.0,w/o_PrePlan,20,226.29750000000004,2.8567645943214224,36.029368532137774,0.1867147259429143,10.2833984375,0.4123063455760559,1.04933,0.05199,1.0,2.5,7.235341099959195,0.3935615137422591
empty,40,5.0,Baseline,20,179.96749999999997,2.518257281701393,39.19062366208455,0.1763821979203247,11.060546875,1.4303100389117025,1.0505850000000003,0.0500649999999999,1.0125,2.0,6.135601619905901,0.3716440921270539
empty,40,5.0,Full,20,182.4255,2.902937668167052,36.44526029435063,0.2985478682910832,11.474609375,0.9996799157498044,1.05396,0.05561,1.0,1.6667,2.654896020989173,0.3521368621106348
empty,40,5.0,w/o_HashSIPP,20,186.70300000000003,3.4007307264298667,36.942795382674205,0.3490195583013941,12.4205078125,0.6990863947339538,1.066485,0.072165,1.0,2.5,4.807733642081399,0.5427947997010936
empty,40,5.0,w/o_LNS,19,192.8136842105263,3.863158193508281,39.50231332425629,0.2428639150503318,11.526932565789474,1.0811964780458716,1.0567105263157894,0.0928105263157894,1.0125,11.0625,2.203293179196461,0.3248262780087426
empty,40,5.0,w/o_PrePlan,20,170.002,2.363987710360788,36.31214276455104,0.2333585516190504,10.669921875,0.591175192122996,1.05225,0.0572849999999999,1.0,3.5909,6.5938935572239545,0.4323322036106977
empty,50,5.0,Baseline,20,144.5075,1.939980670006791,39.544944141942,0.2192508732992823,11.532421875,0.8435892230774122,1.051685,0.050265,1.0125,1.6667,5.239573446641052,0.5780131842943843
empty,50,5.0,Full,20,146.2475,3.115565125724638,36.85521851498322,0.2291094183963767,12.1234375,1.2713049982361808,1.05648,0.0715349999999999,1.0,6.0,2.4133600315428425,0.3490215956317983
empty,50,5.0,w/o_HashSIPP,20,151.0205,2.6338254647845165,37.48859792827443,0.3977003579246593,13.4078125,0.3299954520220895,1.071045,0.07441,1.0,2.0,5.99692222260235,0.3026441452190676
empty,50,5.0,w/o_LNS,18,155.19944444444442,2.1756904846432827,39.81146887977822,0.2743560178382578,12.172743055555555,1.6880996366390808,1.0576611111111112,0.0647666666666666,1.0125,3.1707,2.2951991179543825,0.1054100225880089
empty,50,5.0,w/o_PrePlan,20,136.4165,2.4631158594029032,36.71266705502192,0.2930495902703936,11.6841796875,0.9581950957271892,1.05344,0.0551699999999999,1.0,2.0,6.06020789749925,0.4618703616828465
random,10,0.5,Baseline,20,228.79850000000005,13.629188211914508,28.46431447158564,0.2582657922591423,6.7609375,0.4896200396257541,1.0702000000000005,0.0706799999999999,1.0189,2.0,0.2875987364986626,0.076331460383033
random,10,0.5,Full,20,204.888,22.032889912463524,26.010445106103028,0.2079776009113428,7.45078125,0.9901289578153144,1.0527450000000005,0.0738399999999999,1.0,2.0,0.2406260314372281,0.0178349600732395
random,10,0.5,w/o_HashSIPP,20,234.221,19.187283041804427,26.779263451514943,0.1782366050073676,7.319921875,0.1163201178163061,1.086495,0.10776,1.0,3.0,0.4189963920659114,0.0301948585524029
random,10,0.5,w/o_LNS,20,233.8065,15.844477794454043,28.73784471671815,0.3246555085520944,7.41015625,0.9829919926463836,1.071545,0.0703299999999999,1.0189,2.0,0.2081988750896306,0.0126218819839156
random,10,0.5,w/o_PrePlan,20,197.3465,15.025141132536216,26.01447325528037,0.164157258327567,6.6494140625,0.901466998834206,1.052575,0.071525,1.0,2.0,0.3086231649902316,0.0368834734124234
random,20,0.5,Baseline,20,36.665,2.8981164482070803,32.86703242389323,0.5401500663253496,7.402734375,0.1965744592786846,1.0714449999999998,0.072225,1.0189,2.0,0.2827642174396662,0.0123846228137133
random,20,0.5,Full,20,28.065999999999995,0.9665750712805772,26.72260596351453,0.262688580617531,7.383984375,0.1450891614552678,1.051795,0.07658,1.0,2.0,0.3728875316947417,0.0257698610142986
random,20,0.5,w/o_HashSIPP,20,28.9365,1.8198243842397768,27.15449504992447,0.4681346030039142,7.6267578125,0.2213683863305492,1.0567449999999998,0.08198,1.0,3.0,0.7249189327425706,0.0809159710749811
random,20,0.5,w/o_LNS,20,36.544,2.6080854038325145,32.75841340475138,0.5771855766185077,7.6220703125,0.1702641837172085,1.071075,0.07188,1.0189,2.0,0.2738289378231018,0.0102706371907004
random,20,0.5,w/o_PrePlan,20,28.0095,0.8649458455819496,26.67493053156836,0.2586351744329027,7.21796875,0.190291548032137,1.0517999999999998,0.077215,1.0,2.0,0.3806029979289017,0.0226029025385357
random,30,0.5,Baseline,20,27.6845,0.2703112241375425,28.185912849829272,0.2589952228383858,7.5208984375,0.1667102823575361,1.0707999999999998,0.07158,1.0189,2.0,0.2556129380089827,0.0152975169085972
random,30,0.5,Full,20,26.037,0.198258204847804,26.206088338866916,0.1709940730614956,7.382421875,0.2054049518223488,1.06315,0.07656,1.0,2.0,0.3721569918043979,0.0273376765512565
random,30,0.5,w/o_HashSIPP,20,26.334000000000003,0.2964243047070409,26.387576492868128,0.2262776099982282,7.5966796875,0.1603485637320565,1.06585,0.07812,1.0,2.0,0.9062204624199046,1.0991270645912063
random,30,0.5,w/o_LNS,20,27.698,0.2495385214435047,28.202019338460552,0.2294089213859106,7.4990234375,0.2450484765235758,1.07077,0.07179,1.0189,2.0,0.2610830370568721,0.0162427592180644
random,30,0.5,w/o_PrePlan,20,26.037,0.198258204847804,26.206088338866916,0.1709940730614956,7.2951171875,0.20767021788173,1.06315,0.07656,1.0,2.0,0.3734477224855065,0.0274447053023778
random,40,0.5,Baseline,20,26.2075,0.1907843919468419,27.03277600005027,0.1923800690369335,7.4935546875,0.2158312197693317,1.070845,0.07132,1.0189,2.0,0.2656953477178783,0.0156186259116104
random,40,0.5,Full,20,25.3365,0.1645176362326509,25.955264963928705,0.1437601237176435,8.33828125,1.295894599103654,1.06623,0.07519,1.0,2.0,0.3318546208801294,0.0220450344857195
random,40,0.5,w/o_HashSIPP,20,25.472,0.1822837579738046,26.036110186904622,0.1637168815297722,7.8748046875,0.2003201582397123,1.0678999999999998,0.076075,1.0,2.0,0.6438553005621647,0.055990130480071
random,40,0.5,w/o_LNS,20,26.198,0.1786970385287555,27.033173945210024,0.1693372355454056,7.42265625,0.2140877098101997,1.070915,0.071425,1.0189,2.0,0.2606589242479318,0.0164438090710439
random,40,0.5,w/o_PrePlan,20,25.3365,0.1645176362326509,25.955264963928705,0.1437601237176435,7.40625,0.1986960215097821,1.06623,0.07519,1.0,2.0,0.3752101602461991,0.0210715574224936
